2018年12月26日,3857.3
2018年12月25日,3815.49
2018年12月24日,4078.6
2018年12月23日,3998.98
2018年12月22日,4014.18
2018年12月21日,3896.54
2018年12月20日,4134.44
2018年12月19日,3745.95
2018年12月18日,3696.06
2018年12月17日,3545.86
2018年12月16日,3252.84
2018年12月15日,3236.76
2018年12月14日,3242.48
2018年12月13日,3313.68
2018年12月12日,3486.95
2018年12月11日,3424.59
2018年12月10日,3502.66
2018年12月09日,3614.23
2018年12月08日,3476.11
2018年12月07日,3419.94
2018年12月06日,3521.1
2018年12月05日,3753.99
2018年12月04日,3956.89
2018年12月03日,3894.13
2018年12月02日,4139.88
2018年12月01日,4214.67
2018年11月30日,4017.27
2018年11月29日,4278.85
2018年11月28日,4257.42
2018年11月27日,3820.72
2018年11月26日,3779.13
2018年11月25日,4009.97
2018年11月24日,3880.76
2018年11月23日,4347.11
2018年11月22日,4365.94
2018年11月21日,4602.17
2018年11月20日,4451.87
2018年11月19日,4871.49
2018年11月18日,5623.54
2018年11月17日,5554.33
2018年11月16日,5575.55
2018年11月15日,5648.03
2018年11月14日,5738.35
2018年11月13日,6359.49
2018年11月12日,6371.27
2018年11月11日,6411.27
2018年11月10日,6409.22
2018年11月09日,6385.62
2018年11月08日,6453.72
2018年11月07日,6530.14
2018年11月06日,6461.01
2018年11月05日,6419.66
2018年11月04日,6376.13
2018年11月03日,6361.26
2018年11月02日,6388.44
2018年11月01日,6377.78
2018年10月31日,6317.61
2018年10月30日,6334.27
2018年10月29日,6332.63
2018年10月28日,6486.39
2018年10月27日,6480.38
2018年10月26日,6474.75
2018年10月25日,6476.29
2018年10月24日,6495.84
2018年10月23日,6475.74
2018年10月22日,6487.16
2018年10月21日,6482.35
2018年10月20日,6489.19
2018年10月19日,6465.41
2018年10月18日,6476.71
2018年10月17日,6544.43
2018年10月16日,6596.11
2018年10月15日,6596.54
2018年10月14日,6290.93
2018年10月13日,6285.99
2018年10月12日,6274.58
2018年10月11日,6256.24
2018年10月10日,6585.53
2018年10月09日,6642.64
2018年10月08日,6652.23
2018年10月07日,6602.95
2018年10月06日,6588.31
2018年10月05日,6622.48
2018年10月04日,6576.69
2018年10月03日,6502.59
2018年10月02日,6556.1
2018年10月01日,6589.62
2018年09月30日,6625.56
2018年09月29日,6601.96
2018年09月28日,6644.13
2018年09月27日,6676.75
2018年09月26日,6495
2018年09月25日,6446.47
2018年09月24日,6595.41
2018年09月23日,6710.63
2018年09月22日,6721.98
2018年09月21日,6734.95
2018年09月20日,6519.67
2018年09月19日,6398.54
2018年09月18日,6371.3
2018年09月17日,6281.2
2018年09月16日,6517.18
2018年09月15日,6543.2
2018年09月14日,6512.71
2018年09月13日,6517.31
2018年09月12日,6351.8
2018年09月11日,6321.2
2018年09月10日,6329.7
2018年09月09日,6300.86
2018年09月08日,6225.98
2018年09月07日,6467.07
2018年09月06日,6529.17
2018年09月05日,6792.83
2018年09月04日,7361.66
2018年09月03日,7260.06
2018年09月02日,7272.72
2018年09月01日,7193.25
2018年08月31日,7037.58
2018年08月30日,6978.23
2018年08月29日,7047.16
2018年08月28日,7096.28
2018年08月27日,6884.64
2018年08月26日,6707.26
2018年08月25日,6763.19
2018年08月24日,6719.96
2018年08月23日,6534.88
2018年08月22日,6376.71
2018年08月21日,6488.76
2018年08月20日,6308.53
2018年08月19日,6506.07
2018年08月18日,6423.76
2018年08月17日,6580.63
2018年08月16日,6334.73
2018年08月15日,6308.52
2018年08月14日,6199.71
2018年08月13日,6297.57
2018年08月12日,6322.69
2018年08月11日,6295.73
2018年08月10日,6184.71
2018年08月09日,6568.23
2018年08月08日,6305.8
2018年08月07日,6753.12
2018年08月06日,6951.8
2018年08月05日,7068.48
2018年08月04日,7032.85
2018年08月03日,7434.39
2018年08月02日,7567.15
2018年08月01日,7624.91
2018年07月31日,7780.44
2018年07月30日,8180.48
2018年07月29日,8218.46
2018年07月28日,8192.15
2018年07月27日,8165.01
2018年07月26日,7951.58
2018年07月25日,8181.39
2018年07月24日,8424.27
2018年07月23日,7711.11
2018年07月22日,7418.49
2018年07月21日,7419.29
2018年07月20日,7354.13
2018年07月19日,7466.86
2018年07月18日,7370.78
2018年07月17日,7321.04
2018年07月16日,6741.75
2018年07月15日,6359.64
2018年07月14日,6276.12
2018年07月13日,6238.05
2018年07月12日,6228.81
2018年07月11日,6394.71
2018年07月10日,6329.95
2018年07月09日,6741.75
2018年07月08日,6773.88
2018年07月07日,6856.93
2018年07月06日,6673.5
2018年07月05日,6639.14
2018年07月04日,6597.55
2018年07月03日,6529.59
2018年07月02日,6614.18
2018年07月01日,6385.82
2018年06月30日,6404
2018年06月29日,6218.3
2018年06月28日,5903.44
2018年06月27日,6157.13
2018年06月26日,6093.67
2018年06月25日,6249.18
2018年06月24日,6173.23
2018年06月23日,6162.48
2018年06月22日,6083.69
2018年06月21日,6729.74
2018年06月20日,6776.55
2018年06月19日,6769.94
2018年06月18日,6734.82
2018年06月17日,6499.27
2018年06月16日,6550.16
2018年06月15日,6456.58
2018年06月14日,6675.35
2018年06月13日,6349.9
2018年06月12日,6582.36
2018年06月11日,6906.92
2018年06月10日,6786.02
2018年06月09日,7531.98
2018年06月08日,7624.92
2018年06月07日,7678.24
2018年06月06日,7653.98
2018年06月05日,7633.76
2018年06月04日,7514.47
2018年06月03日,7720.25
2018年06月02日,7643.45
2018年06月01日,7541.45
2018年05月31日,7494.17
2018年05月30日,7406.52
2018年05月29日,7472.59
2018年05月28日,7135.99
2018年05月27日,7368.22
2018年05月26日,7355.88
2018年05月25日,7480.14
2018年05月24日,7587.34
2018年05月23日,7557.82
2018年05月22日,8041.78
2018年05月21日,8418.99
2018年05月20日,8513.25
